,uuid,location_i,count
0,00009999-0000-1000-8000-00177a000002,87.0,176
1,00009999-0000-1000-8000-00177a000002,88.0,1
2,06649f1a-51ec-40c2-bae0-d1c063eae3bb,17.0,354
3,06649f1a-51ec-40c2-bae0-d1c063eae3bb,61.0,26
4,06649f1a-51ec-40c2-bae0-d1c063eae3bb,87.0,27
5,14839ac4-7d7e-415c-9a42-167340cf2339,87.0,30
6,1acbad6e-e1a5-4838-a62a-d35d00c35b01,87.0,282
7,1ca92e23-f087-4df7-b9a2-fd4b716a4bf6,17.0,182
8,1ca92e23-f087-4df7-b9a2-fd4b716a4bf6,49.0,66
9,1ca92e23-f087-4df7-b9a2-fd4b716a4bf6,87.0,97
10,1e84766c-ac5c-4df6-a0af-3ea98dd5a91a,87.0,159
11,20cae8a0-a9cf-11e3-a5e2-0800200c9a66,87.0,226
12,2686f39c-bada-4658-854a-a62e7e5e8b8d,17.0,1106
13,2686f39c-bada-4658-854a-a62e7e5e8b8d,49.0,2425
14,2686f39c-bada-4658-854a-a62e7e5e8b8d,61.0,145
15,2686f39c-bada-4658-854a-a62e7e5e8b8d,87.0,3069
16,2686f39c-bada-4658-854a-a62e7e5e8b8d,88.0,668
17,2f234454-cf6d-4a0f-adf2-f4911ba9ffa6,87.0,8
18,2f234454-cf6d-4a0f-adf2-f4911ba9ffa6,209.0,41
19,36855890-eb06-4852-89b3-d35064ddce45,87.0,21
20,36855890-eb06-4852-89b3-d35064ddce45,88.0,12
21,4152554e-f99b-4a3b-86d0-947070693a78,87.0,22
22,4b993cd6-1f3a-466f-aac7-cd79c01b9a20,87.0,30
23,50765cb7-d9ea-4e21-99a4-fa879613a492,17.0,524
24,50765cb7-d9ea-4e21-99a4-fa879613a492,87.0,1852
25,50765cb7-d9ea-4e21-99a4-fa879613a492,88.0,1468
26,56db0365-a001-4062-9e4d-499d3b8eccf3,87.0,8
27,56db0365-a001-4062-9e4d-499d3b8eccf3,88.0,20
28,56db0365-a001-4062-9e4d-499d3b8eccf3,209.0,48
29,5993a94c-7d97-4df7-9abf-e493bfd5d000,88.0,2
30,5e9917bd-f3ac-41e6-8226-3fd79f340dc5,88.0,5
31,6ab357ac-96dd-4d5e-a606-b9dd64c570c7,87.0,468
32,6ab357ac-96dd-4d5e-a606-b9dd64c570c7,88.0,13
33,71b2f817-2875-4835-a94e-f9b6c31a5a24,88.0,1
34,74278bda-b644-4520-8f0c-720eaf059935,49.0,138
35,74278bda-b644-4520-8f0c-720eaf059935,87.0,443
36,74278bda-b644-4520-8f0c-720eaf059935,88.0,19
37,74278bda-b644-4520-8f0c-720eaf059935,209.0,25
38,8277a5f1-4166-45d1-9f97-905df2a427d5,87.0,3570
39,8277a5f1-4166-45d1-9f97-905df2a427d5,88.0,1481
40,8a21c76b-74e3-4341-92be-33fcfdefdd63,17.0,183
41,8a21c76b-74e3-4341-92be-33fcfdefdd63,49.0,34
42,8a21c76b-74e3-4341-92be-33fcfdefdd63,87.0,143
43,8a21c76b-74e3-4341-92be-33fcfdefdd63,88.0,9
44,8b03238e-cebc-465d-8fb8-90e41e0f51ba,17.0,33
45,8b03238e-cebc-465d-8fb8-90e41e0f51ba,49.0,968
46,9d410000-35d6-f4dd-ba60-e7bd8dc491c0,17.0,18
47,aa0c1a63-153f-4256-bc10-398508e2b590,88.0,23
48,b8ba3d72-9fd6-4ca1-89f6-d0da18de8375,87.0,675
49,bfd12541-ce23-4201-a9f1-e97a24acac95,87.0,222
50,c4abe711-56a5-fa70-a23f-616263646566,87.0,115
51,c75bcf5a-3f10-ee6e-8d95-4b7600020381,17.0,27
52,c7804a54-10e5-4f29-9402-7465d89abeed,87.0,68
53,d77657c4-52a7-426f-b9d0-d71e10798c8a,17.0,1366
54,d77657c4-52a7-426f-b9d0-d71e10798c8a,49.0,334
55,d77657c4-52a7-426f-b9d0-d71e10798c8a,87.0,278
56,e0d2870b-849d-1df0-fe9a-ac5f0002038c,87.0,56
57,e23af6ec-8e03-f0f1-3025-883100000384,87.0,261
58,e23af6ec-8e03-f0f1-3025-883100020384,87.0,205
59,e2c56db5-dffb-48d2-b060-d0f5a71096e0,88.0,3
60,e8996658-ba30-9e10-ced8-daaeb21e1afd,88.0,2
61,f2356731-fbd4-4a10-8aa2-c89adf48a98d,87.0,21
62,f34ebac4-7cd7-4027-878e-55f4e71d0309,87.0,47
63,fbdde4c1-57ed-b42f-7b9f-dd517b53f2f2,87.0,964
64,fe913213-b311-4a42-8c16-47faeac938db,87.0,108
