,uuid,id,count
0,00009999-0000-1000-8000-00177a000002,3280,9
1,00009999-0000-1000-8000-00177a000002,3290,7
2,00009999-0000-1000-8000-00177a000002,3297,3
3,00009999-0000-1000-8000-00177a000002,3317,30
4,00009999-0000-1000-8000-00177a000002,3346,3
5,00009999-0000-1000-8000-00177a000002,3355,16
6,00009999-0000-1000-8000-00177a000002,3382,48
7,00009999-0000-1000-8000-00177a000002,3420,163
8,00009999-0000-1000-8000-00177a000002,3434,270
9,00009999-0000-1000-8000-00177a000002,3502,33
10,00009999-0000-1000-8000-00177a000002,3540,28
11,00009999-0000-1000-8000-00177a000002,3689,32
12,00009999-0000-1000-8000-00177a000002,3804,118
13,00009999-0000-1000-8000-00177a000002,3829,176
14,00009999-0000-1000-8000-00177a000002,3836,293
15,00009999-0000-1000-8000-00177a000002,3844,71
16,00009999-0000-1000-8000-00177a000002,3853,82
17,00009999-0000-1000-8000-00177a000002,3855,96
18,00009999-0000-1000-8000-00177a000002,3864,112
19,00009999-0000-1000-8000-00177a000002,3889,15
20,00009999-0000-1000-8000-00177a000002,3900,597
21,00009999-0000-1000-8000-00177a000002,3903,45
22,00009999-0000-1000-8000-00177a000002,3905,22
23,00009999-0000-1000-8000-00177a000002,3908,2
24,00009999-0000-1000-8000-00177a000002,3910,1
25,00009999-0000-1000-8000-00177a000002,3915,4
26,00009999-0000-1000-8000-00177a000002,3934,2
27,00009999-0000-1000-8000-00177a000002,4322,1
28,00009999-0000-1000-8000-00177a000002,5006,196
29,00009999-0000-1000-8000-00177a000002,5009,15
30,00009999-0000-1000-8000-00177a000002,5491,117
31,00009999-0000-1000-8000-00177a000002,5492,52
32,00009999-0000-1000-8000-00177a000002,5496,161
33,00009999-0000-1000-8000-00177a000002,5497,79
34,00009999-0000-1000-8000-00177a000002,5502,4
35,00009999-0000-1000-8000-00177a000002,5509,12
36,00009999-0000-1000-8000-00177a000002,5613,12
37,00014422-d102-11e1-9b23-00025b00a5a5,3853,32
38,000170a0-79dc-4457-8175-c2a3de60b80b,3856,53
39,00ce1c6a-0f3e-4ba4-955a-69f997ba4aa4,3853,431
40,01059016-c1e6-3da5-7b81-eb84d9860645,3900,55
41,010e5daf-960b-43da-b605-89d5f040b217,3434,3
42,03040000-2aae-4d26-ad62-03e9a8637ebd,3561,236
43,048ec0bc-7d57-4d14-90f0-4f427e8eea36,3280,8
44,06649f1a-51ec-40c2-bae0-d1c063eae3bb,3434,279
45,06649f1a-51ec-40c2-bae0-d1c063eae3bb,3438,31
46,06649f1a-51ec-40c2-bae0-d1c063eae3bb,3829,27
47,06649f1a-51ec-40c2-bae0-d1c063eae3bb,3900,454
